parentId,docTypeAlias,name,title,isIndexable|boolean,isFollowable|boolean,subtitle,author|sampleAuthorName,categories|sampleCategoryNames,mainImage|mediaIdToMediaUdi,articleDate|dateTime,contentRows|sampleBlockListContent,metaKeywords|stringArray,metaName,metaDescription,bulkUploadShouldPublish
1122,article,Exploring the Flexibility of the Bulk Upload Tool,Exploring the Flexibility of the Bulk Upload Tool,TRUE,TRUE,Woohoo,Paul Seal,"Community,Videos",1165,15-Jul-25,"<h2>Exploring the Flexibility of the Bulk Upload Tool</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description,true
1122,article,How the Bulk Upload Tool Simplifies Content Management,How the Bulk Upload Tool Simplifies Content Management,TRUE,TRUE,Woohoo,Paul Seal,"Resources,Community",1158,26-Jul-25,"<h2>How the Bulk Upload Tool Simplifies Content Management</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description,false
1122,article,Bulk Upload Tool: A Game Changer for Editors,Bulk Upload Tool: A Game Changer for Editors,TRUE,TRUE,Woohoo,Paul Seal,"Community,Meetups",1166,22-Jan-25,"<h2>Bulk Upload Tool: A Game Changer for Editors</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,Streamlining Workflows with the Bulk Upload Tool,Streamlining Workflows with the Bulk Upload Tool,TRUE,TRUE,Woohoo,Paul Seal,"Community,Resources",1173,08-Jun-25,"<h2>Streamlining Workflows with the Bulk Upload Tool</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,Bulk Upload Tool Features You Should Know,Bulk Upload Tool Features You Should Know,TRUE,TRUE,Woohoo,Paul Seal,"Umbraco,Videos",1165,08-Jul-25,"<h2>Bulk Upload Tool Features You Should Know</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,Maximizing Efficiency Using the Bulk Upload Tool,Maximizing Efficiency Using the Bulk Upload Tool,TRUE,TRUE,Woohoo,Paul Seal,"Meetups,Podcasts",1173,04-Jul-25,"<h2>Maximizing Efficiency Using the Bulk Upload Tool</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,Bulk Upload Tool: Tips and Tricks,Bulk Upload Tool: Tips and Tricks,TRUE,TRUE,Woohoo,Paul Seal,"Meetups,Videos",1174,09-Jan-25,"<h2>Bulk Upload Tool: Tips and Tricks</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,Why the Bulk Upload Tool is Essential for Teams,Why the Bulk Upload Tool is Essential for Teams,TRUE,TRUE,Woohoo,Paul Seal,"Umbraco,Resources",1159,21-Mar-25,"<h2>Why the Bulk Upload Tool is Essential for Teams</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,"Bulk Upload Tool: Fast, Reliable, and Easy","Bulk Upload Tool: Fast, Reliable, and Easy",TRUE,TRUE,Woohoo,Paul Seal,"Conferences,Community",1163,12-May-25,"<h2>Bulk Upload Tool: Fast, Reliable, and Easy</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,Unlocking the Power of the Bulk Upload Tool,Unlocking the Power of the Bulk Upload Tool,TRUE,TRUE,Woohoo,Paul Seal,"Resources,Meetups",1159,29-Jul-25,"<h2>Unlocking the Power of the Bulk Upload Tool</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,Bulk Upload Tool for Large Scale Content Operations,Bulk Upload Tool for Large Scale Content Operations,TRUE,TRUE,Woohoo,Paul Seal,"Community,Umbraco",1161,08-Nov-24,"<h2>Bulk Upload Tool for Large Scale Content Operations</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,Bulk Upload Tool: Save Time and Reduce Errors,Bulk Upload Tool: Save Time and Reduce Errors,TRUE,TRUE,Woohoo,Paul Seal,"Meetups,Umbraco",1171,04-Dec-24,"<h2>Bulk Upload Tool: Save Time and Reduce Errors</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
1122,article,Bulk Upload Tool: Built for Flexibility,Bulk Upload Tool: Built for Flexibility,TRUE,TRUE,Woohoo,Paul Seal,"Conferences,Meetups",1178,18-Jul-25,"<h2>Bulk Upload Tool: Built for Flexibility</h2>
<p>The Bulk Upload Tool allows users to upload multiple items efficiently. It supports flexible configurations and integrates seamlessly with existing workflows. This tool is ideal for teams managing large volumes of content.</p>
<p>With features like error handling, preview mode, and metadata support, the Bulk Upload Tool ensures accuracy and speed in publishing.</p>","umbraco,package,community",This is the meta name,this is the meta description
